,회사이름,회사코드,옥수치
0,모두투어리츠,204210,33.33333333333333
1,링크제니시스,219420,17.142857142857142
2,미스터블루,207760,17.78846153846154
3,바디텍메드,206640,21.899441340782122
4,아이씨디,040910,12.53507951356408
5,어보브반도체,102120,12.732919254658384
6,엑시콘,092870,12.839059674502712
7,키네마스터,139670,37.03703703703704
8,씨이랩,189330,16.666666666666664
9,엔씨소프트,036570,31.427746499206005
10,쿠쿠홀딩스,192400,16.083086053412462
11,한국토지신탁,034830,10.283159463487332
12,NICE평가정보,030190,10.15625
13,SCI평가정보,036120,10.569105691056912
14,게임빌,063080,15.10989010989011
15,네오팜,092730,11.726384364820847
16,넥스틴,348210,45.622119815668206
17,멕아이씨에스,058110,22.36842105263158
18,비즈니스온,138580,10.655737704918032
19,사람인에이치알,143240,18.69688385269122
20,이녹스,088390,17.522658610271904
21,인포바인,115310,28.947368421052634
22,제놀루션,225220,67.64705882352942
23,컴투스,078340,18.25726141078838
24,한국경제TV,039340,30.8411214953271
25,한국기업평가,034950,15.463917525773196
26,미래에셋맵스리츠,357250,inf
27,케이탑리츠,145270,65.625
28,코람코에너지리츠,357120,1212.5
29,한국자산신탁,123890,19.743040685224837
30,SBI핀테크솔루션즈,950110,11.296296296296296
31,디지털대성,068930,10.218978102189782
32,리드코프,012700,81.11111111111111
33,바이오니아,064550,51.77045177045178
34,슈피겐코리아,192440,22.373434948285247
35,영림원소프트랩,060850,12.0
36,웹젠,069080,29.733424470266574
37,유비쿼스,264450,10.940919037199125
38,해마로푸드서비스,220630,11.832611832611832
39,한국쉘석유,002960,11.462450592885375
40,DSC인베스트먼트,241520,13.507109004739338
41,네오셈,253590,11.363636363636363
42,디바이스이엔지,187870,20.542082738944366
43,선데이토즈,123420,15.96244131455399
44,슈프리마에이치큐,094840,13.496932515337424
45,씨앤지하이테크,264660,11.00196463654224
46,에이치엘사이언스,239610,21.035598705501616
47,LG,003550,21.664595571622232
48,NH프라임리츠,338100,450.0
49,국동,005320,10.57866184448463
50,한국앤컴퍼니,000240,10.46875
51,넷게임즈,225570,25.663716814159294
52,노바텍,285490,46.32352941176471
53,디앤씨미디어,263720,21.55688622754491
54,랩지노믹스,084650,18.579234972677597
55,솔브레인,357780,11.484339536995007
56,에코마케팅,230360,20.532741398446174
57,원익IPS,240810,14.261644000481406
58,클래시스,214150,17.551622418879056
59,티씨케이,064760,12.350119904076738
60,푸드나무,290720,13.36206896551724
61,한국전자인증,041460,15.789473684210526
62,이리츠코크렙,088260,inf
63,하이골드3호,153360,600.0
64,한미반도체,042700,10.146699266503667
65,JYP Ent.,035900,11.11111111111111
66,디에이치피코리아,131030,11.645569620253164
67,미투젠,950190,70.23809523809523
68,세진티에스,067770,11.267605633802818
69,씨젠,096530,36.68938996678902
70,알테오젠,196170,16.731517509727624
71,우리기술투자,041190,15.376884422110553
72,웹케시,053580,14.545454545454545
73,플레이위드,023770,35.714285714285715
74,피씨엘,241820,36.41304347826087
75,다우기술,023590,52.96062086806553
76,롯데리츠,330590,173.91304347826087
77,대성창투,027830,10.559006211180124
78,미투온,201490,10.35120147874307
79,액토즈소프트,052790,10.141509433962264
80,윙입푸드,900340,12.719298245614036
81,이크레더블,092130,15.384615384615385
82,진매트릭스,109820,12.056737588652481
83,케이엠,083550,10.8153078202995
84,케이프,064820,11.197916666666668
85,다나와,119860,20.763723150357997
86,다우데이타,032190,37.948564593301434
87,리노공업,058470,13.082322910019146
88,서울제약,018680,15.827338129496402
89,솔트룩스,304100,17.24137931034483
90,파나진,046210,10.191082802547772
91,피엔케이피부임상연구센타,347740,39.130434782608695
