,회사이름,회사코드,옥수치20/03,옥수치20/06,옥수치20/09,옥수치20/12,업종,시가총액
119,대주산업,003310,1.158,1.396,1.29,1.966,동물용 사료 및 조제식품 제조업,83525946000
129,링크제니시스,219420,-1.754,12.727,17.143,18.333,소프트웨어 개발 및 공급업,82700000000
189,오공,045060,2.216,2.178,2.311,3.327,기타 화학제품 제조업,86404067400
228,케이비제20호스팩,342550,-200.0,0.0,0.0,100.0,금융 지원 서비스업,13522080000
312,동원금속,018500,0.766,-0.24,-0.875,1.635,자동차 신품 부품 제조업,51897975630
359,티비에이치글로벌,084870,-5.181,1.581,-2.816,1.197,봉제의복 제조업,41609353905
475,에스에스알,275630,-14.103,-7.317,-23.077,11.429,소프트웨어 개발 및 공급업,38070843960
516,젬백스지오,041590,-1.907,-1.198,-0.299,7.469,실내건축 및 건축마무리 공사업,72505417562
571,한일단조,024740,-0.092,-2.425,-0.296,3.202,자동차 신품 부품 제조업,64116898560
745,라이브플렉스,050120,0.345,0.275,0.244,1.122,생활용품 도매업,78264776220
874,파버나인,177830,1.0,0.34,3.766,1.777,전자부품 제조업,78430093800
938,미래아이앤지,007120,-0.995,0.676,1.399,4.255,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",77949457096
982,참엔지니어링,009310,-3.17,-0.801,7.923,2.163,특수 목적용 기계 제조업,88290416760
1021,나노,187790,-0.098,-5.771,-1.575,6.43,기초 화학물질 제조업,45017256975
1067,서진오토모티브,122690,-0.433,-0.539,0.426,1.02,자동차 신품 부품 제조업,53933838960
1118,오가닉티코스메틱,900300,-2.208,2.895,-1.588,8.211,기타 금융업,46762429560
1132,이루온,065440,-1.235,-3.084,2.662,10.526,소프트웨어 개발 및 공급업,49231411100
1304,화승코퍼레이션,013520,0.756,-1.343,0.804,1.138,자동차 신품 부품 제조업,86088153440
1327,골든센츄리,900280,5.126,4.869,6.906,6.129,기타 금융업,67163940000
1428,위세아이텍,065370,3.659,6.742,5.0,22.33,소프트웨어 개발 및 공급업,87130330500
1448,정원엔시스,045510,-0.173,0.161,-0.307,1.955,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",63613351700
1630,대신정보통신,020180,2.247,-4.842,-0.367,11.514,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",74359950525
1633,동우팜투테이블,088910,-4.605,-3.785,-0.629,4.373,"도축, 육류 가공 및 저장 처리업",92477715120
1713,우리이앤엘,153490,0.138,0.839,1.854,1.617,반도체 제조업,89570500000
1772,화신정공,126640,2.313,2.584,0.958,1.085,자동차 신품 부품 제조업,71110949085
1829,대호에이엘,069460,0.175,0.544,1.506,1.744,1차 비철금속 제조업,71997807660
1870,주연테크,044380,3.693,-0.293,-2.462,0.602,컴퓨터 및 주변장치 제조업,64169204575
1957,상신전자,263810,1.389,1.034,2.643,1.789,전자부품 제조업,75354558220
2140,미래산업,025560,1.282,0.283,-1.86,3.232,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",62240868215
2265,버킷스튜디오,066410,2.632,0.0,0.0,0.5,"영화, 비디오물, 방송프로그램 제작 및 배급업",79948823960
2371,지에스이,053050,2.004,0.776,-0.704,1.238,연료용 가스 제조 및 배관공급업,54577426540
2394,파이오링크,170790,3.03,4.104,5.3,9.756,통신 및 방송 장비 제조업,93588904500
2396,포시에스,189690,-1.269,4.715,-0.248,6.846,소프트웨어 개발 및 공급업,65506645230
