회사코드,상승율,회사이름,옥수치20/09,업종
078070,5.288828421888365,유비쿼스홀딩스,17.634173055859804,통신 및 방송 장비 제조업
003230,4.131597906505461,삼양식품,20.638629283489095,기타 식품 제조업
092730,8.283665761831703,네오팜,49.83713355048861,기타 화학제품 제조업
143240,16.577699850639632,사람인에이치알,47.59206798866857,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
236200,12.304895530515974,슈프리마,15.308641975308642,통신 및 방송 장비 제조업
306040,2.889382416941469,에스제이그룹,27.23492723492724,"가죽, 가방 및 유사제품 제조업"
950110,1.0879510493509468,SBI핀테크솔루션즈,17.037037037037038,소프트웨어 개발 및 공급업
060850,9.661978221415604,영림원소프트랩,17.333333333333336,소프트웨어 개발 및 공급업
044340,6.630102517025525,위닉스,15.274463007159905,가정용 기기 제조업
356860,6.235984908868692,티엘비,17.31266149870801,전자부품 제조업
239610,24.23130830887827,에이치엘사이언스,57.605177993527505,기타 식품 제조업
307930,3.9545168607865135,컴퍼니케이,12.815126050420167,기타 금융업
029960,7.166984409174378,코엔텍,24.30769230769231,폐기물 처리업
027970,3.7369054024116193,세하,10.679048171793383,"펄프, 종이 및 판지 제조업"
111710,1.5092285994603882,남화산업,10.161662817551964,스포츠 서비스업
223250,21.537990196078415,드림씨아이에스,30.28169014084507,자연과학 및 공학 연구개발업
950190,128.8671023965141,미투젠,221.42857142857144,소프트웨어 개발 및 공급업
052400,2.541891914449165,코나아이,13.737373737373733,소프트웨어 개발 및 공급업
282690,9.06493638418366,동아타이어,11.770623742454728,고무제품 제조업
267980,2.7160348729540704,매일유업,10.144457068657683,낙농제품 및 식용빙과류 제조업
004650,1.5308441720304955,창해에탄올,10.671641791044776,알코올음료 제조업
005190,6.97653806250774,동성화학,19.378427787934186,기초 화학물질 제조업
051600,0.7171687515198939,한전KPS,10.14964216005205,전기 및 통신 공사업
298540,11.139912954429075,더네이쳐홀딩스,10.658307210031348,"섬유, 의복, 신발 및 가죽제품 소매업"
100030,20.32115171650054,모바일리더,19.84732824427481,소프트웨어 개발 및 공급업
318410,5.222529769393737,비비씨,17.016806722689072,그외 기타 제품 제조업
046940,5.773054665813726,우원개발,25.78055307760928,기반조성 및 시설물 축조관련 전문공사업
016670,5.115042058386937,포비스티앤씨,17.24137931034483,기타 전문 도매업
